Id_Athlete,Athlete,Gender,Medal
,"BENNETT, Charles",Men,Gold
,"DELOGE, Henri",Men,Silver
,"ROWLEY, Stanley",Men,Bronze
,"TEWKSBURY, Walter B. John",Men,Gold
,"PRITCHARD, Norman",Men,Silver
,"TEWKSBURY, Walter B. John",Men,Bronze
,"KRAENZLEIN, Alvin",Men,Gold
,"PRITCHARD, Norman",Men,Silver
,"CHASTANIE, Jacques",Men,Bronze
,"ORTON, George",Men,Gold
,"ROBINSON, Sidney",Men,Silver
,"ROBINSON, Sidney",Men,Bronze
,"RIMMER, John",Men,Gold
,"BENNETT, Charles",Men,Silver
,"SCHULTZ, Ernst",Men,Bronze
,"LONG, Maxwell W.Maxey",Men,Gold
,"HOLLAND, William",Men,Silver
,"ORTON, George",Men,Bronze
,"TEWKSBURY, Walter B. John",Men,Gold
,"TAUZIN, Henri",Men,Silver
,"BENNETT, Charles",Men,Gold
,"RIMMER, John",Men,Gold
,"ROBINSON, Sidney",Men,Gold
,"ROWLEY, Stanley",Men,Gold
,"TYSOE, Alfred",Men,Gold
,"CASTANET, André",Men,Silver
,"CHAMPOUDRY, Michel",Men,Silver
,"CHASTANIE, Jacques",Men,Silver
,"DELOGE, Henri",Men,Silver
,"RAGUENEAU, Gaston",Men,Silver
,"ROWLEY, Stanley",Men,Bronze
,"KRAENZLEIN, Alvin",Men,Gold
,"TEWKSBURY, Walter B. John",Men,Silver
,"HALL, David",Men,Bronze
,"TYSOE, Alfred",Men,Gold
,"CREGAN, John",Men,Silver
,"SHELDON, Richard",Men,Bronze
,"BAUER, Rudolf",Men,Gold
,"JANDA, Frantisek",Men,Silver
,"MCCRACKEN, Josiah",Men,Bronze
,"FLANAGAN, John Jesus",Men,Gold
,"HARE, Thomas Truxton",Men,Silver
,"GÖNCZY, Lajos",Men,Bronze
,"BAXTER, Irving",Men,Gold
,"LEAHY, Patrick Joseph",Men,Silver
,"SHELDON, Lewis Pendleton",Men,Bronze
,"EWRY, Ray",Men,Gold
,"BAXTER, Irving",Men,Silver
,"LEAHY, Patrick Joseph",Men,Bronze
,"KRAENZLEIN, Alvin",Men,Gold
,"PRINSTEIN, Meyer",Men,Silver
,"TORCHEBOEUF, Emile",Men,Bronze
,"EWRY, Ray",Men,Gold
,"BAXTER, Irving",Men,Silver
,"FAST, Ernst",Men,Bronze
,"THEATO, Michel",Men,Gold
,"CHAMPION, Emile",Men,Silver
,"ANDERSEN, Carl Albert",Men,Bronze
,"BAXTER, Irving",Men,Gold
,"COLKETT, Meredith Bright",Men,Silver
,"GARRETT, Robert",Men,Bronze
,"SHELDON, Richard",Men,Gold
,"MCCRACKEN, Josiah",Men,Silver
,"SHELDON, Lewis Pendleton",Men,Bronze
,"PRINSTEIN, Meyer",Men,Gold
,"CONNOLLY, James",Men,Silver
,"GARRETT, Robert",Men,Bronze
,"EWRY, Ray",Men,Gold
,"BAXTER, Irving",Men,Silver
,"De AMEZOLA y ASPIZUA, José",Men,Gold
,"VILLOTA BAQUIOLA, Francisco",Men,Gold
,"DURQUETTY, Maurice",Men,Silver
,ETCHEGARAY,Men,Silver
,"BEACHCROFT, Charles",Men,Gold
,"BIRKETT, Arthur Ernest",Men,Gold
,"BOWERMAN, Alfred James",Men,Gold
,"BUCKLEY, George John",Men,Gold
,"BURCHELL, Francis Romulus",Men,Gold
,"CHRISTIAN, Frederick William",Men,Gold
,"CORNER, Harry Richard",Men,Gold
,"CUMING, Frederick Wlliam",Men,Gold
,"DONNE, William Stephen",Men,Gold
,"POWLESLAND, Alfred James",Men,Gold
,"SYMES, John",Men,Gold
,"TOLLER, Montagu Henry",Men,Gold
,"ANDERSON, W.",Men,Silver
,"ATTRILL, W.T.",Men,Silver
,"BRAID, J.",Men,Silver
,"BROWNING, W.",Men,Silver
,"HORNE, R.",Men,Silver
,"JORDAN, T.H.",Men,Silver
,"MCEVOY, A.",Men,Silver
,"ROBINSON, D.",Men,Silver
,"ROQUES, F.",Men,Silver
,"SCHNEIDAU, A.J.",Men,Silver
,"TERRY, Henry John",Men,Silver
,"TOMALIN, P.H.",Men,Silver
,AUMOITTE,Men,Gold
,JOHIN,Men,Gold
,WAYDELICH,Men,Bronze
,AUMOITTE,Men,Gold
,JOHIN,Men,Silver
,SAUTREAU,Men,Bronze
,WAYDELICH,Men,Gold
,VIGNEROT,Men,Silver
,"DAUMAIN, .....",Men,Bronze
,"BASTIEN, Louis",Men,Gold
,"HILDEBRAND, Louis",Men,Silver
,"LAKE, John Henry",Men,Bronze
,"TAILLANDIER, Georges",Men,Gold
,"SANZ, Fernand",Men,Silver
,"VAN DE POELE, Georges",Men,Bronze
,"GARDERES, Dominique Maximien",Men,Gold
,"TRISSINO, Gian Giorgio",Men,Gold
,"DE CHAMPSAVIN, Louis",Men,Bronze
,"HAEGEMAN, Aimé",Men,Gold
,"VAN DE POELE, Georges",Men,Silver
,DE BELLEGARDE,Men,Bronze
,"VAN LANGHENDONCK, Constant",Men,Gold
,"TRISSINO, Gian Giorgio",Men,Silver
,"SEE, Léon",Men,Bronze
,"FONST, Ramon",Men,Gold
,"PERREE, Louis",Men,Silver
,"SEE, Léon",Men,Bronze
,"AYAT, Albert",Men,Gold
,"FONST, Ramon",Men,Silver
,"LAURENT, Henri",Men,Bronze
,"AYAT, Albert",Men,Gold
,"BOUGNOL, Emile",Men,Silver
,"BOULENGER, Marcel Jacques",Men,Bronze
,"COSTE, Emile",Men,Gold
,"MASSON, Henri",Men,Silver
,"MIMIAGUE, Jean-Baptiste",Men,Bronze
,"MERIGNAC, Lucien",Men,Gold
,"KIRCHHOFFER, Alphonse",Men,Silver
,"FLESCH, Siegfried",Men,Bronze
,"DE LA FALAISE, Georges",Men,Gold
,"THIEBAUT, Léon",Men,Silver
,"NERALIC, Milan",Men,Bronze
,"CONTE, Antonio",Men,Gold
,"SANTELLI, Italo",Men,Silver
,"DELBECQUE, Albert",Men,Bronze
,"KELECOM, R.",Men,Bronze
,"LEBOUTTE, Marcel",Men,Bronze
,LONDOT,Men,Bronze
,"MOREAU, Ernest",Men,Bronze
,"NEEFS, E.",Men,Bronze
,"PELGRIMS, Georges",Men,Bronze
,"RENIER, Alphonse",Men,Bronze
,"SPANNOGHE, E.",Men,Bronze
,"THORNTON, Erich",Men,Bronze
,VAN HEUCKELUM,Men,Bronze
,"BUCKENHAM, Claude Percy",Men,Gold
,"BURRIDGE, T.E.",Men,Gold
,"CHALK, Alfred Ernest",Men,Gold
,"GROSLING, William Sullivan",Men,Gold
,"HASLAM, A.",Men,Gold
,"JONES, J.H.",Men,Gold
,"NICHOLAS, J.",Men,Gold
,"QUASH, William Francis",Men,Gold
,"SPACKMAN, F.G.",Men,Gold
,"TURNER, R.R.",Men,Gold
,"ZEALLEY, James Edward",Men,Gold
,"ALLEMANE, Pierre",Men,Silver
,BACH,Men,Silver
,"BLOCH, Jean",Men,Silver
,"CANELLE, Fernand",Men,Silver
,DUPARC,Men,Silver
,FRAYSSE,Men,Silver
,GAILLARD,Men,Silver
,"GARNIER, René",Men,Silver
,GRANDJEAN,Men,Silver
,HUTEAU,Men,Silver
,LAMBERT,Men,Silver
,MACAIRE,Men,Silver
