Id_Athlete,Athlete,Gender,Medal
,"STANKOVICH, Vasili",Men,Silver
,"SVESHNIKOV, German",Men,Silver
,"DERSIDAN-ENE-PASCU, Ana",Women,Bronze
,"GYULAI-DRIMBA-JENEI, Ileana",Women,Bronze
,"IENCIC-STAHL, Ecaterina Clara",Women,Bronze
,"ORBAN-SZABO, Olga",Women,Bronze
,"VICOL, Maria",Women,Bronze
,"CHIRKOVA, Svetlana",Women,Gold
,"GOROKHOVA, Galina",Women,Gold
,"NOVIKOVA-BELOVA, Elena",Women,Gold
,"PETRENKO-SAMUSENKO, Tatyana",Women,Gold
,"ZABELINA, Aleksandra",Women,Gold
,"BOBIS-FERKASINSZKY, Ildiko",Women,Silver
,"DÖMÖLKI-SAKOVICS, Lidia",Women,Silver
,"JARMY, Maria",Women,Silver
,"MAROSI-FOLDESI, Paula",Women,Silver
,"REJTO-UJLAKI, Ildiko",Women,Silver
,"PEZSA, Tibor",Men,Bronze
,"PAWLOWSKI, Jerzy",Men,Gold
,"RAKITA, Mark",Men,Silver
,"BAKONYI, Peter",Men,Bronze
,"KALMAR, Janos",Men,Bronze
,"KOVACS, Tamas",Men,Bronze
,"MESZENA, Miklos",Men,Bronze
,"PEZSA, Tibor",Men,Bronze
,"MAVLIKHANOV, Umar",Men,Gold
,"NAZLYMOV, Vladimir",Men,Gold
,"RAKITA, Mark",Men,Gold
,"SIDYAK, Viktor",Men,Gold
,"VINOKUROV, Eduard",Men,Gold
,"CALARESE, Wladimiro",Men,Silver
,"CHICCA, Pierluigi",Men,Silver
,"MAFFEI, Michele",Men,Silver
,"RIGOLI, Rolando",Men,Silver
,"SALVADORI, Cesare",Men,Silver
,"KAMAMOTO, Kunishige",Men,Bronze
,"KAMATA, Mitsuo",Men,Bronze
,"KATAYAMA, Hiroshi",Men,Bronze
,"KUWAHARA, Yasuyuki",Men,Bronze
,"MATSUMOTO, Ikuo",Men,Bronze
,"MIYAMOTO, Masakatsu",Men,Bronze
,"MIYAMOTO, Teruki",Men,Bronze
,"MORI, Takaji",Men,Bronze
,"OGI, Aritatsu",Men,Bronze
,"OKANO, Shun-Ichiro",Men,Bronze
,"SUGIYAMA, Ryuichi",Men,Bronze
,"WATANABE, Masashi",Men,Bronze
,"YAEGASHI, Shigeo",Men,Bronze
,"YAMAGUCHI, Yoshitada",Men,Bronze
,"YOKOYAMA, Kenzo",Men,Bronze
,"YUGUCHI, Eizo",Men,Bronze
,"BASTI, Istvan",Men,Gold
,"DRESTYAK-DUNAI, Lajos",Men,Gold
,"DUNAI, Antal",Men,Gold
,"FATER, Karoly",Men,Gold
,"FAZEKAS, Laszlo",Men,Gold
,"JUHASZ, Istvan",Men,Gold
,"KEGLOVICS, Laszlo",Men,Gold
,"KOCSIS, Lajos",Men,Gold
,"MENCZEL, Ivan",Men,Gold
,"NAGY, Laszlo",Men,Gold
,"NOSKO, Erno",Men,Gold
,"NOVAK, Dezsö",Men,Gold
,"PANCSICS, Miklos",Men,Gold
,"SARKÖZI, Gabor",Men,Gold
,"SZALAI, Miklos",Men,Gold
,"SZARKA, Zoltan",Men,Gold
,"SZUCS, Lajos",Men,Gold
,"CHRISTAKIEV, Georghi",Men,Silver
,"CHRISTOV, Atanas",Men,Silver
,"CHRISTOV, Kiril",Men,Silver
,"DIMITROV, Tzvetan",Men,Silver
,"DIMITROV, Yantcho",Men,Silver
,"DONEV, Asparukh",Men,Silver
,"GAYDARSKI, Milko",Men,Silver
,"GEORGIEV, Ivailo",Men,Silver
,"GEROV, Atanas",Men,Silver
,"GIONIN, Mikhail",Men,Silver
,"IVANOV, Georghi",Men,Silver
,"IVKOV, Kiril",Men,Silver
,"JEKOV, Petar",Men,Silver
,"NIKOLOV, Todor",Men,Silver
,"VASSILEV, Georghi",Men,Silver
,"YANTCHOVSKI, Evgeni",Men,Silver
,"YORDANOV, Stoyan",Men,Silver
,"ZAFIROV, Ivan",Men,Silver
,"PETRIK, Larisa",Women,Bronze
,"KUCHINSKAYA, Natalya",Women,Gold
,"CASLAVSKA, Vera",Women,Silver
,"KATO, Takeshi",Men,Bronze
,"KATO, Sawao",Men,Gold
,"NAKAYAMA, Akinori",Men,Silver
,"KUCHINSKAYA, Natalya",Women,Bronze
,"CASLAVSKA, Vera",Women,Gold
,"PETRIK, Larisa",Women,Gold
,"KENMOTSU, Eizo",Men,Bronze
,"NAKAYAMA, Akinori",Men,Gold
,"VORONIN, Mikhail",Men,Gold
,"NAKAYAMA, Akinori",Men,Bronze
,"KATO, Sawao",Men,Gold
,"VORONIN, Mikhail",Men,Silver
,"KUCHINSKAYA, Natalya",Women,Bronze
,"CASLAVSKA, Vera",Women,Gold
,"VORONINA, Zinaida",Women,Silver
,"KLIMENKO, Viktor",Men,Bronze
,"NAKAYAMA, Akinori",Men,Gold
,"VORONIN, Mikhail",Men,Silver
,"VORONIN, Mikhail",Men,Bronze
,"CERAR, Miroslav",Men,Gold
,"LAIHO, Olli Eino",Men,Silver
,"KATO, Sawao",Men,Bronze
,"NAKAYAMA, Akinori",Men,Gold
,"VORONIN, Mikhail",Men,Silver
,"BEIER, Günter",Men,Bronze
,"BREHME, Matthias",Men,Bronze
,"DIETRICH, Gerhard",Men,Bronze
,"FÜLLE, Siegfried",Men,Bronze
,"KÖSTE, Klaus",Men,Bronze
,"WEBER, Peter",Men,Bronze
,"ENDO, Yukio",Men,Gold
,"KATO, Sawao",Men,Gold
,"KATO, Takeshi",Men,Gold
,"KENMOTSU, Eizo",Men,Gold
,"NAKAYAMA, Akinori",Men,Gold
,"TSUKAHARA, Mitsuo",Men,Gold
,"DIOMIDOV, Sergei",Men,Silver
,"ILYINYKH, Valeri",Men,Silver
,"KARASEV, Valeri",Men,Silver
,"KLIMENKO, Viktor",Men,Silver
,"LISITSKY, Viktor",Men,Silver
,"VORONIN, Mikhail",Men,Silver
,"BAUERSCHMIDT, Maritta",Women,Bronze
,"JANZ, Karin",Women,Bronze
,"NOACK, Marianne",Women,Bronze
,"SCHMIDT, Magdalena",Women,Bronze
,"STARKE, Ute",Women,Bronze
,"ZUCHOLD, Erika",Women,Bronze
,"BURDA, Lyubov",Women,Gold
,"KARASEVA, Olga",Women,Gold
,"KUCHINSKAYA, Natalya",Women,Gold
,"PETRIK, Larisa",Women,Gold
,"TURISCHEVA, Lyudmila",Women,Gold
,"VORONINA, Zinaida",Women,Gold
,"CASLAVSKA, Vera",Women,Silver
,"KRAJCIROVA-NEMETHOVA, Mariana",Women,Silver
,"LISKOVA, Hana",Women,Silver
,"POSNEROVA-KUBICKOVA, Jana",Women,Silver
,"RIMNACOVA, Bohmila",Women,Silver
,"SKLENICKOVA, Miroslava",Women,Silver
,"VORONINA, Zinaida",Women,Bronze
,"CASLAVSKA, Vera",Women,Gold
,"JANZ, Karin",Women,Silver
,"DIOMIDOV, Sergei",Men,Bronze
,"VORONIN, Mikhail",Men,Gold
,"ENDO, Yukio",Men,Silver
,"VORONINA, Zinaida",Women,Bronze
,"CASLAVSKA, Vera",Women,Gold
,"ZUCHOLD, Erika",Women,Silver
,"CHRISTY, Rajendra Absolem",Men,Bronze
,"PERUMAL, Krishnanurthy",Men,Bronze
,"PETER, John Victor",Men,Bronze
,"REHAMAN, Inamur",Men,Bronze
,"SAIT, Munir",Men,Bronze
,"SINGH, Ajitpal",Men,Bronze
,"SINGH, Balbir I",Men,Bronze
,"SINGH, Balbir II",Men,Bronze
,"SINGH, Balbir III",Men,Bronze
,"SINGH, Gurbux",Men,Bronze
,"SINGH, Harbinder",Men,Bronze
,"SINGH, Harmik",Men,Bronze
,"SINGH, Inder",Men,Bronze
,"SINGH, Prithipal",Men,Bronze
,"SINGH, Tarsem",Men,Bronze
,"ABDUL, Rashid III",Men,Gold
,"BUTT, Jahangir Ahmad",Men,Gold
,"DAR, Tanwir Ahmed",Men,Gold
,"GULREZ, Akhtar",Men,Gold
,"KHALID, Mahmud Hussain",Men,Gold
,"MALIK, Muhammad Azam",Men,Gold
,"MUHAMMAD, Ashfaq",Men,Gold
,"NIAZI, Tariq",Men,Gold
,"RIAZ, Ahmad",Men,Gold
,"RIAZ, Ud Din",Men,Gold
,"SAEED, Anwar",Men,Gold
,"TARIQ, Aziz",Men,Gold
,"ZAKIR, Hussain",Men,Gold
,"DEARING, Paul",Men,Silver
,"EVANS, Raymond",Men,Silver
,"GLENCROSS, Brian",Men,Silver
,"HAIGH, Robert",Men,Silver
,"MARTIN, Donald",Men,Silver
,"MASON, James",Men,Silver
,"NILAN, Patrick",Men,Silver
,"PEARCE, Eric Robert",Men,Silver
,"PEARCE, Gordon Charles",Men,Silver
,"PEARCE, Julian",Men,Silver
,"PIPER, Desmond",Men,Silver
,"QUINE, Fred",Men,Silver
,"RILEY, Ronald",Men,Silver
,"SMART, Donald",Men,Silver
,"LEDNEV, Pavel",Men,Bronze
,"FERM, Björn",Men,Gold
,"BALCZO, Andras",Men,Silver
,"GIUDICELLI, Jean-Pierre",Men,Bronze
,"GUEGUEN, Raoul",Men,Bronze
,"GUIGUET, Lucien",Men,Bronze
,"BALCZO, Andras",Men,Gold
,"MONA, Istvan",Men,Gold
,"TÖRÖK, Ferenc",Men,Gold
,"LEDNEV, Pavel",Men,Silver
,"ONISHENKO, Boris",Men,Silver
,"SHAPARNIS, Stasis",Men,Silver
,"CHRISTIANSEN, Peter Fich",Men,Bronze
,"LARSEN, Ib Ivan",Men,Bronze
,"BOTHE, Heinz-Jürgen",Men,Gold
,"LUCKE, Jörg",Men,Gold
,"HOUGH, Lawrence Alan",Men,Silver
,"JOHNSON, Philip Anthony",Men,Silver
,"MAHER, William Patrick",Men,Bronze
,"NUNN, John Hamann",Men,Bronze
,"SASS, Anatoli",Men,Gold
,"TIMOSHININ, Aleksandr",Men,Gold
,"DROOG, Henricus Antonius",Men,Silver
,"VAN DIS, Leendert Frans",Men,Silver
,"BOGDANAVICHUS, Antanas",Men,Bronze
,"BRIEDIS, Vitautas Julius",Men,Bronze
,"KRAVCHUK, Valentin",Men,Bronze
,"LORENTSON, Yuri",Men,Bronze
,"MARTISHKIN, Aleksandr",Men,Bronze
,"STERLIK, Vladimir",Men,Bronze
,"SUSLIN, Viktor",Men,Bronze
,"YAGELAVICHUS, Yozanas",Men,Bronze
,"YUKNA, Zigmas",Men,Bronze
,"HENNING, Rüdiger",Men,Gold
,"HIRSCHFELDER, Egbert",Men,Gold
,"HOTTENROTT, Wolfgang",Men,Gold
,"MEYER, Horst",Men,Gold
,"OTT, Nikolaus",Men,Gold
,"SCHREYER, Dirk",Men,Gold
,"SIEBERT, Jörg",Men,Gold
,"TIERSCH, Günther",Men,Gold
,"ULBRICHT, Lutz",Men,Gold
,"DICKSON, Peter",Men,Silver
,"DOUGLAS, David",Men,Silver
,"DUVAL, Alfred W.",Men,Silver
,"FAZIO, Joseph",Men,Silver
,"GROVER, Alan Geoffrey",Men,Silver
,"MORGAN, Michael Dennis",Men,Silver
,"PEARCE, Gary Malcolm",Men,Silver
,"RANCH, John",Men,Silver
,"SHIRLAW, Robert Alan",Men,Silver
,"ALBINI, Abramo",Men,Bronze
,"BARAGLIA, Tullio",Men,Bronze
,"BOSATTA, Renato",Men,Bronze
,"CONTI-MANZINI, Pier Angelo",Men,Bronze
,"FORBERGER, Frank",Men,Gold
,"GRAHN, Dieter",Men,Gold
,"RÜHLE, Frank",Men,Gold
,"SCHUBERT, Dieter",Men,Gold
,"CSERMELY, Jozsef",Men,Silver
,"MELIOS, Zoltan",Men,Silver
,"MELIS, Antal",Men,Silver
,"SARLOS, György",Men,Silver
,"BOLLIGER, Peter",Men,Bronze
,"FRÖHLICH, Gottlieb",Men,Bronze
,"GROB, Jakob",Men,Bronze
,"OSWALD, Denis",Men,Bronze
,"WASER, Hugo",Men,Bronze
,"COLE, Warren Joseph",Men,Gold
,"COLLINGE, Ross Hounsell",Men,Gold
,"DICKIE, Simon Charles",Men,Gold
,"JOYCE, Richard John",Men,Gold
,"STOREY, Dudley Leonard",Men,Gold
,"GELPKE, Manfred",Men,Silver
,"GÖHLER, Roland",Men,Silver
,"JAKOB, Klaus",Men,Silver
,"KREMTZ, Peter",Men,Silver
,"SEMETZKY, Dieter",Men,Silver
,"JORGENSEN, Harry",Men,Bronze
,"KRAB, Jorn",Men,Bronze
,"KRAB, Preben",Men,Bronze
,"BARAN, Primo",Men,Gold
,"CIPOLLA, Bruno",Men,Gold
,"SAMBO, Renzo",Men,Gold
,"RIJNDERS, Roderick Falesca Rene",Men,Silver
,"SUSELBEEK, Herman Johan",Men,Silver
,"VAN NES, Hadriaan",Men,Silver
,"DEMIDDI, Alberto",Men,Bronze
,"WIENESE, Henri-Jan",Men,Gold
,"MEISSNER, Jochen",Men,Silver
,"AISHER, Robin Allingham",Men,Bronze
,"ANDERSON, Paul Richard",Men,Bronze
,"JARDINE, Adrian",Men,Bronze
,"SUNDELIN, Jörgen",Men,Gold
,"SUNDELIN, Peter",Men,Gold
,"SUNDELIN, Ulf",Men,Gold
,"DUNAND, Bernard",Men,Silver
,"NOVERRAZ, Louis",Men,Silver
,"STERN, Marcel",Men,Silver
,"BOROWSKI, Paul",Men,Bronze
,"THUN, Karl-Heinz",Men,Bronze
,"WEICHERT, Konrad",Men,Bronze
,"FRIEDRICHS, George Shelby Jr.",Men,Gold
,"JAHNCKE, Barton Williams",Men,Gold
,"SCHRECK, Gerald Click",Men,Gold
,"BIRCH, Aage",Men,Silver
,"JENSEN, Poul Richard Hoj",Men,Silver
,"MARKUSSEN, Niels Peter",Men,Silver
,"CONRAD, Reinaldo",Men,Bronze
,"CORDES, Burkhard",Men,Bronze
,"MACDONALD-SMITH, Iain Somerled",Men,Gold
,"PATTISSON, Rodney Stuart",Men,Gold
,"LIBOR, Ullrich",Men,Silver
,"NAUMANN, Peter",Men,Silver
,"ALBARELLI, Fabio",Men,Bronze
,"MANKIN, Valentyn",Men,Gold
,"RAUDASCHL, Hubert",Men,Silver
,"CAVALLO, Franco",Men,Bronze
,"GARGANO, Camillo",Men,Bronze
,"BARRETT, Peter Jones",Men,Gold
,"NORTH, Lowell Orton",Men,Gold
,"LUNDE, Peder Jr.",Men,Silver
,"WIKEN, Per Olav",Men,Silver
,"SULEIMANOV, Renart",Men,Bronze
,"ZAPEDZKI, Jozef",Men,Gold
,"ROSCA, Marcel",Men,Silver
,"MÜLLER, Kurt",Men,Bronze
,"ANDERSON, Gary Lee",Men,Gold
,"KORNEV, Valentin",Men,Silver
,"VOLLMAR, Harald",Men,Bronze
,"KOSYKH, Grigori",Men,Gold
,"MERTEL, Heinz",Men,Silver
,"PARKHIMOVICH, Vitali",Men,Bronze
,"KLINGNER, Bernd",Men,Gold
,"WRITER, John Henry",Men,Silver
,"BALLINGER, Ian Roy",Men,Bronze
,"KURKA, Jan",Men,Gold
,"HAMMERL, Laszlo",Men,Silver
,"WIRNHIER, Konrad",Men,Bronze
,"PETROV, Yevgeni",Men,Gold
,"GARAGNANI, Romano",Men,Silver
,"CZEKALLA, Kurt",Men,Bronze
,"BRAITHWAITE, John Robert",Men,Gold
,"GARRIGUS, Thomas Irvin",Men,Silver
,"GOLIAN, Bohumil",Men,Bronze
,"GROESSEL, Zdenek",Men,Bronze
,"KOP, Petr",Men,Bronze
,"KOUDELKA, Drahomir",Men,Bronze
,"MUSIL, Josef",Men,Bronze
,"PETLAK, Vladimir",Men,Bronze
,"PROCHAZKA, Antonin",Men,Bronze
,"SCHENK, Pavel",Men,Bronze
,"SMOLKA, Josef",Men,Bronze
,"SOKOL, Frantisek",Men,Bronze
,"SVOBODA, Jiri",Men,Bronze
,"ZAJISEK, Lubomir",Men,Bronze
,"ANTROPOV, Oleg",Men,Gold
,"BELYAEV, Vladimir",Men,Gold
,"BUGAENKOV, Ivan",Men,Gold
,"IVANOV, Vladimir",Men,Gold
,"KRAVCHENKO, Valeri",Men,Gold
,"LAPINSKY, Yevgeni",Men,Gold
,"MATUSHEVAS, Vasilius",Men,Gold
,"MIKHALCHUK, Viktor",Men,Gold
,"MONDZOLEVSKY, Georgi",Men,Gold
,"POYARKOV, Yuri",Men,Gold
,"SIBIRYAKOV, Eduard",Men,Gold
,"TERESHCHUK, Boris",Men,Gold
,"IKEDA, Nachiro",Men,Silver
,"KIMURA, Kenji",Men,Silver
,"KOIZUMI, Isao",Men,Silver
,"MINAMI, Masayuki",Men,Silver
,"MITSUMORI, Yasuaki",Men,Silver
,"MORITA, Jungo",Men,Silver
,"NEKODA, Katsutoshi",Men,Silver
,"OKO, Seiji",Men,Silver
,"SATO, Tetsuo",Men,Silver
,"SHIMAOKA, Kenji",Men,Silver
,"SHIRAGAMI, Mamoru",Men,Silver
,"YOKOTA, Tadayoshi",Men,Silver
,"ASKIELOWICZ, Halina",Women,Bronze
,"CHMIELNICKA, Lidia",Women,Bronze
,"CZAJKOWSKA, Krystyna",Women,Bronze
,"HERMELA-NIEMCZYK, Barbara Wieslawa",Women,Bronze
,"JAKUBOWSKA, Krystyna",Women,Bronze
,"KRUP, Krystyna",Women,Bronze
,"LEDWIG, Jozefa",Women,Bronze
,"MARKO-KSIAZEK, Jadwiga",Women,Bronze
,"OSTROMECKA, Krystyna",Women,Bronze
,"PORZEC, Elzbieta",Women,Bronze
,"SZCZESNIEWSKA, Zofia",Women,Bronze
,"WIECHA, Wanda",Women,Bronze
,"BULDAKOVA, Lyudmila",Women,Gold
,"GALUSHKA-DUYUNOVA, Vera",Women,Gold
,"KAMENEK-VINOGRADOVA, Valentina",Women,Gold
,"LANTRATOVA, Vera",Women,Gold
,"LEONTYEVA, Galina",Women,Gold
,"MIKHAILOVSKAYA, Lyudmila",Women,Gold
,"PONYAEVA-TRETYAKOVA, Tatyana",Women,Gold
,"RYSKAL, Inna",Women,Gold
,"SALIKHOVA, Roza",Women,Gold
,"SARYCHEVA, Tatyana",Women,Gold
,"SMOLEEVA, Nina",Women,Gold
,"VEINBERGA, Tatyana",Women,Gold
,"FUKUNAKA, Sachiko",Women,Silver
,"FURUKAWA, Makiko",Women,Silver
,"HAMA, Keiko",Women,Silver
,"INOUE, Setsuko",Women,Silver
,"IWAHARA, Toyoko",Women,Silver
,"KASAHARA, Youko",Women,Silver
,"KOJIMA, Yukiyo",Women,Silver
,"OINUMA, Sumie",Women,Silver
,"ONOZAWA, Aiko",Women,Silver
,"SHISHIKURA, Kunie",Women,Silver
,"TAKAYAMA, Suzue",Women,Silver
,"YOSHIDA, Setsuko",Women,Silver
,"TREBICKI, Henryk",Men,Bronze
,"NASSIRI-SERESHT, Mohammad",Men,Gold
,"FÖLDI, Imre",Men,Silver
,"DUBE, Joseph Douglas",Men,Bronze
,"ZHABOTINSKY, Leonid",Men,Gold
,"REDING, Serge",Men,Silver
,"MIYAKE, Yoshiyuki",Men,Bronze
,"MIYAKE, Yoshinobu",Men,Gold
,"SHANIDZE, Dito",Men,Silver
,"ZIELINSKI, Marian",Men,Bronze
,"BASZANOWSKI, Waldemar",Men,Gold
,"JALAYER, Parviz",Men,Silver
,"BAKOS, Karoly",Men,Bronze
,"KURENTSOV, Viktor",Men,Gold
,"OHUCHI, Masashi",Men,Silver
,"OZIMEK, Norbert",Men,Bronze
,"SELITSKY, Boris",Men,Gold
,"BELYAEV, Vladimir",Men,Silver
,"GOLAB, Marek",Men,Bronze
,"KANGASNIEMI, Kaarlo Olavi",Men,Gold
,"TALTS, Yan",Men,Silver
,"SURENJAV, Sukhbaatar",Men,Bronze
,"NAKATA, Shigeo",Men,Gold
,"SANDERS, Richard Joseph",Men,Silver
,"DIETRICH, Wilfried",Men,Bronze
,"MEDVED, Aleksandr",Men,Gold
,"DURALIEV, Osman",Men,Silver
,"GORGORI, Abutaleb",Men,Bronze
,"UETAKE, Yojiro",Men,Gold
,"BEHM, Donald Rae",Men,Silver
,"SEYED-ABBASSI, Shamseddin",Men,Bronze
,"KANEKO, Masaki",Men,Gold
,"TODOROV, Enyu Dinev",Men,Silver
,"DANZANDARJAA, Sereeter",Men,Bronze
,"MOVAHED-ARDABILI, Abdollah",Men,Gold
,"VALTCHEV, Enyu Dimov",Men,Silver
,"PUREV, Dagvasuren",Men,Bronze
,"ATALAY, Mahmut",Men,Gold
,"ROBIN, Daniel Sauton",Men,Silver
,"GARDJEV, Prodan Stoyanov",Men,Bronze
,"GUREVICH, Boris",Men,Gold
,"JIGJIDYM, Munkbat",Men,Silver
,"CSATARI, Jozsef",Men,Bronze
,"AYIK, Ahmet",Men,Gold
,"LOMIDZE, Shota",Men,Silver
,"ZEMAN, Miroslav",Men,Bronze
,"KIROV, Petar",Men,Gold
,"BAKULIN, Vladimir",Men,Silver
,"KMENT, Petr",Men,Bronze
,"KOZMA, Istvan",Men,Gold
,"ROSHCHIN, Anatoli",Men,Silver
,"KOCHERGIN, Ivan",Men,Bronze
,"VARGA, Janos",Men,Gold
,"BACIU, Ion",Men,Silver
,"POPESCU, Simion",Men,Bronze
,"RURUA, Roman",Men,Gold
,"FUJIMOTO, Hideo",Men,Silver
,"GALAKTOPOULOS, Petros",Men,Bronze
,"NUMEMURA, Munji",Men,Gold
,"HORVAT, Stevan",Men,Silver
,"BAJKO, Karoly",Men,Bronze
,"VESPER, Rudolf",Men,Gold
,"ROBIN, Daniel Sauton",Men,Silver
,"SIMIC, Branislav",Men,Bronze
,"METZ, Lothar",Men,Gold
,"OLEINIK, Valentin",Men,Silver
,"MARTINESCU, Nicolae",Men,Bronze
,"RADEV, Boyan Aleksandrov",Men,Gold
,"YAKOVENKO, Nikolai",Men,Silver
,"CAGNOTTO, Giorgio Franco",Men,Bronze
,"DIBIASI, Klaus",Men,Gold
,"RYDZE, Richard Anthony",Men,Silver
,"JANICKE, Marina",Women,Bronze
,"KNAPE-LINDBERGH, Ulrika",Women,Gold
,"DUCHKOVA, Milena",Women,Silver
,"LINCOLN, Craig Howard",Men,Bronze
,"VASIN, Vladimir",Men,Gold
,"CAGNOTTO, Giorgio Franco",Men,Silver
,"JANICKE, Marina",Women,Bronze
,"KING, Maxine Joyce",Women,Gold
,"KNAPE-LINDBERGH, Ulrika",Women,Silver
,"MURPHY, John Joseph",Men,Bronze
,"MATTHES, Roland",Men,Gold
,"STAMM, Michael Eugene",Men,Silver
,"ATWOOD, Susanne Jean",Women,Bronze
,"BELOTE, Melissa Louise",Women,Gold
,"GYARMATI, Andrea",Women,Silver
,"HENCKEN, John Frederick",Men,Bronze
,"TAGUCHI, Nobutaka",Men,Gold
,"BRUCE, Thomas Edwin",Men,Silver
,"WHITFIELD, Beverley Joy",Women,Bronze
,"CARR, Catherine L.",Women,Gold
,"PROZUMENSCHIKOVA-STEPANOVA, Galina",Women,Silver
,"HEIDENREICH, Jerry Alan",Men,Bronze
,"SPITZ, Mark",Men,Gold
,"ROBERTSON, Bruce Richard",Men,Silver
,"GYARMATI, Andrea",Women,Bronze
,"AOKI, Mayumi",Women,Gold
,"BEIER, Roswitha",Women,Silver
,"BURE, Vladimir",Men,Bronze
,"SPITZ, Mark",Men,Gold
,"HEIDENREICH, Jerry Alan",Men,Silver
,"GOULD, Shane",Women,Bronze
,"NEILSON, Alexandra Lynn",Women,Gold
,"BABASHOFF, Shirley Farber",Women,Silver
,"NORTHWAY, Douglas Dale",Men,Bronze
,"BURTON, Michael Jay",Men,Gold
,"WINDEATT, Graham Claud",Men,Silver
,"IVEY, Mitchell",Men,Bronze
,"MATTHES, Roland",Men,Gold
,"STAMM, Michael Eugene",Men,Silver
,"GURR, Donna Marie",Women,Bronze
,"BELOTE, Melissa Louise",Women,Gold
,"ATWOOD, Susanne Jean",Women,Silver
,"TAGUCHI, Nobutaka",Men,Bronze
,"HENCKEN, John Frederick",Men,Gold
,"WILKIE, David Andrew",Men,Silver
,"PROZUMENSCHIKOVA-STEPANOVA, Galina",Women,Bronze
,"WHITFIELD, Beverley Joy",Women,Gold
,"SCHOENFIELD, Dana Lee",Women,Silver
,"BACKHAUS, Robin James",Men,Bronze
,"SPITZ, Mark",Men,Gold
,"HALL, Gary Wayne",Men,Silver
,"DANIEL, Eleanor Suzanne",Women,Bronze
,"MOE-THORNTON, Karen Patricia",Women,Gold
,"COLELLA, Lynn Ann",Women,Silver
,"LAMPE, Werner",Men,Bronze
,"SPITZ, Mark",Men,Gold
,"GENTER, Robert Steven",Men,Silver
,"ROTHHAMMER, Keena Ruth",Women,Bronze
,"GOULD, Shane",Women,Gold
,"BABASHOFF, Shirley Farber",Women,Silver
,"FURNISS, Steven Charles",Men,Bronze
,"LARSSON, Gunnar",Men,Gold
,"MCKEE, Alexander Timothy",Men,Silver
,"VIDALI, Lynn Marie",Women,Bronze
,"GOULD, Shane",Women,Gold
,"ENDER, Kornelia",Women,Silver
,"MCBREEN, Thomas Sean",Men,Bronze
,"COOPER, Bradford Paul",Men,Gold
,"GENTER, Robert Steven",Men,Silver
,"WEGNER, Gudrun",Women,Bronze
,"GOULD, Shane",Women,Gold
,"CALLIGARIS, Novella",Women,Silver
,"HARGITAY, Andras",Men,Bronze
,"LARSSON, Gunnar",Men,Gold
,"MCKEE, Alexander Timothy",Men,Silver
,"CALLIGARIS, Novella",Women,Bronze
,"NEALL, Gail",Women,Gold
,"CLIFF, Leslie",Women,Silver
,"BRUCH, Peter",Men,Bronze
,"HARTUNG, Wilfried",Men,Bronze
,"MATTHES, Roland",Men,Bronze
,"UNGER, Lutz",Men,Bronze
,"EDGAR, David Holmes",Men,Gold
,"HEIDENREICH, Jerry Alan",Men,Gold
,"MURPHY, John Joseph",Men,Gold
,"SPITZ, Mark",Men,Gold
,"ABOIMOV, Viktor",Men,Silver
,"BURE, Vladimir",Men,Silver
,"GRIVENNIKOV, Igor",Men,Silver
,"MAZANOV, Viktor",Men,Silver
,"BECKMANN, Gudrun",Women,Bronze
,"REINECK, Heidemarie",Women,Bronze
,"STEINBACH, Angela",Women,Bronze
,"WEBER, Judith (Jutta)",Women,Bronze
,"BABASHOFF, Shirley Farber",Women,Gold
,"BARKMAN, Jane Louise",Women,Gold
,"KEMP, Jennifer Jo",Women,Gold
,"NEILSON, Alexandra Lynn",Women,Gold
,"EIFE, Andrea",Women,Silver
,"ENDER, Kornelia",Women,Silver
,"SEHMISCH, Elke",Women,Silver
,"WETZKO, Gabriele",Women,Silver
,"FISH, Erik",Men,Bronze
,"KASTING, Robert",Men,Bronze
,"MAHONY, William",Men,Bronze
,"ROBERTSON, Bruce Richard",Men,Bronze
,"BRUCE, Thomas Edwin",Men,Gold
,"HEIDENREICH, Jerry Alan",Men,Gold
,"SPITZ, Mark",Men,Gold
,"STAMM, Michael Eugene",Men,Gold
,"FLÖCKNER, Hartmut",Men,Silver
,"KATZUR, Klaus",Men,Silver
,"MATTHES, Roland",Men,Silver
,"UNGER, Lutz",Men,Silver
,"BECKMANN, Gudrun",Women,Bronze
,"EBERLE, Verena (Vreni)",Women,Bronze
,"PIELEN, Silke",Women,Bronze
,"REINECK, Heidemarie",Women,Bronze
,"BELOTE, Melissa Louise",Women,Gold
,"CARR, Catherine L.",Women,Gold
,"DEARDRUFF, Deena Diana",Women,Gold
,"NEILSON, Alexandra Lynn",Women,Gold
,"BEIER, Roswitha",Women,Silver
,"ENDER, Kornelia",Women,Silver
,"HERBST, Christine",Women,Silver
,"VOGEL, Renate",Women,Silver
,"BURE, Vladimir",Men,Bronze
,"GRIVENNIKOV, Igor",Men,Bronze
,"KULIKOV, Georgi",Men,Bronze
,"MAZANOV, Viktor",Men,Bronze
,"GENTER, Robert Steven",Men,Gold
,"KINSELLA, John Pitann",Men,Gold
,"SPITZ, Mark",Men,Gold
,"TYLER, Frederick Daniel",Men,Gold
,"FASSNACHT, Hans",Men,Silver
,"LAMPE, Werner",Men,Silver
,"STEINBACH, Klaus",Men,Silver
,"VOSSELER, Hans-Günther",Men,Silver
