NOME;PAIS_ORIGEM;GENERO;PREPARADOR FISICO;TECNICO;;;;;;;
TRISSINO, Gian Giorgio;ITA;Men;;;;;;;;;
DE CHAMPSAVIN, Louis;FRA;Men;;;;;;;;;
HAEGEMAN, Aim??;BEL;Men;;;;;;;;;
DE BELLEGARDE;FRA;Men;;;;;;;;;
VAN LANGHENDONCK, Constant;BEL;Men;;;;;;;;;
SEE, Léon;FRA;Men;;;;;;;;;
FONST, Ramon;CUB;Men;;;;;;;;;
PERREE, Louis;FRA;Men;;;;;;;;;
AYAT, Albert;FRA;Men;;;;;;;;;
LAURENT, Henri;FRA;Men;;;;;;;;;
BOUGNOL, Emile;FRA;Men;;;;;;;;;
BOULENGER, Marcel Jacques;FRA;Men;;;;;;;;;
COSTE, Emile;FRA;Men;;;;;;;;;
MASSON, Henri;FRA;Men;;;;;;;;;
MIMIAGUE, Jean-Baptiste;FRA;Men;;;;;;;;;
MERIGNAC, Lucien;FRA;Men;;;;;;;;;
KIRCHHOFFER, Alphonse;FRA;Men;;;;;;;;;
FLESCH, Siegfried;AUT;Men;;;;;;;;;
DE LA FALAISE, Georges;FRA;Men;;;;;;;;;
THIEBAUT, L??on;FRA;Men;;;;;;;;;
NERALIC, Milan;AUT;Men;;;;;;;;;
CONTE, Antonio;ITA;Men;;;;;;;;;
SANTELLI, Italo;ITA;Men;;;;;;;;;
DELBECQUE, Albert;BEL;Men;;;;;;;;;
KELECOM, R.;BEL;Men;;;;;;;;;
LEBOUTTE, Marcel;BEL;Men;;;;;;;;;
LONDOT;BEL;Men;;;;;;;;;
MOREAU, Ernest;BEL;Men;;;;;;;;;
NEEFS, E.;BEL;Men;;;;;;;;;
PELGRIMS, Georges;BEL;Men;;;;;;;;;
RENIER, Alphonse;BEL;Men;;;;;;;;;
SPANNOGHE, E.;BEL;Men;;;;;;;;;
THORNTON, Erich;BEL;Men;;;;;;;;;
VAN HEUCKELUM;BEL;Men;;;;;;;;;
BUCKENHAM, Claude Percy;GBR;Men;;;;;;;;;
BURRIDGE, T.E.;GBR;Men;;;;;;;;;
CHALK, Alfred Ernest;GBR;Men;;;;;;;;;
GROSLING, William Sullivan;GBR;Men;;;;;;;;;
HASLAM, A.;GBR;Men;;;;;;;;;
JONES, J.H.;GBR;Men;;;;;;;;;
NICHOLAS, J.;GBR;Men;;;;;;;;;
QUASH, William Francis;GBR;Men;;;;;;;;;
SPACKMAN, F.G.;GBR;Men;;;;;;;;;
TURNER, R.R.;GBR;Men;;;;;;;;;
ZEALLEY, James Edward;GBR;Men;;;;;;;;;
ALLEMANE, Pierre;FRA;Men;;;;;;;;;
BACH;FRA;Men;;;;;;;;;
BLOCH, Jean;FRA;Men;;;;;;;;;
CANELLE, Fernand;FRA;Men;;;;;;;;;
DUPARC;FRA;Men;;;;;;;;;
FRAYSSE;FRA;Men;;;;;;;;;
GAILLARD;FRA;Men;;;;;;;;;
GARNIER, Ren??;FRA;Men;;;;;;;;;
GRANDJEAN;FRA;Men;;;;;;;;;
HUTEAU;FRA;Men;;;;;;;;;
LAMBERT;FRA;Men;;;;;;;;;
MACAIRE;FRA;Men;;;;;;;;;
PELTIER;FRA;Men;;;;;;;;;
ROBERTSON, David Donaldson;GBR;Men;;;;;;;;;
SANDS, Charles Edward;USA;Men;;;;;;;;;
RUTHERFORD, Walter;GBR;Men;;;;;;;;;
PRATT, Daria;USA;Women;;;;;;;;;
ABBOTT, Margaret Ives;USA;Women;;;;;;;;;
WHITTIER, Pauline;USA;Women;;;;;;;;;
DEMANET, Lucien;FRA;Men;;;;;;;;;
SANDRAS, Gustave;FRA;Men;;;;;;;;;
BAS, No??l;FRA;Men;;;;;;;;;
BOUSSOD, Jean;ZZX;Men;;;;;;;;;
DUC DE BISACCIA, Louis;ZZX;Men;;;;;;;;;
FAUQUET LEMAITRE, A.;ZZX;Men;;;;;;;;;
RAOUL-DUVAL, Maurice;ZZX;Men;;;;;;;;;
DALY, Dennis;ZZX;Men;;;;;;;;;
KEENE, Foxhall Parker;ZZX;Men;;;;;;;;;
MACKEY, Frank Jay;ZZX;Men;;;;;;;;;
