NOMEATLETA;NOMEESPORTE;MODALIDADE;MEDALHA
LIOUKINE, Valeri;Artistic G.;Individual All-Round;Silver
BOGINSKAYA, Svetlana;Artistic G.;Individual All-Round;Bronze
SHUSHUNOVA, Elena;Artistic G.;Individual All-Round;Gold
SILIVAS, Daniela;Artistic G.;Individual All-Round;Silver
TIPPELT, Sven;Artistic G.;Parallel Bars;Bronze
ARTEMOV, Vladimir;Artistic G.;Parallel Bars;Gold
LIOUKINE, Valeri;Artistic G.;Parallel Bars;Silver
BILOZERCHEV, Dmitri;Artistic G.;Pommel Horse;Gold
BORKAI, Zsolt;Artistic G.;Pommel Horse;Gold
GERASKOV, Lubomir;Artistic G.;Pommel Horse;Gold
TIPPELT, Sven;Artistic G.;Rings;Bronze
BEHRENDT, Holger;Artistic G.;Rings;Gold
BILOZERCHEV, Dmitri;Artistic G.;Rings;Gold
IKETANI, Yukio;Artistic G.;Team Competition;Bronze
KONISHI, Hiriyuki;Artistic G.;Team Competition;Bronze
MIZUSHIMA, Koichi;Artistic G.;Team Competition;Bronze
NISHIKAWA, Daisuke;Artistic G.;Team Competition;Bronze
SATO, Toshiharu;Artistic G.;Team Competition;Bronze
YAMADA, Takahiro;Artistic G.;Team Competition;Bronze
ARTEMOV, Vladimir;Artistic G.;Team Competition;Gold
BILOZERCHEV, Dmitri;Artistic G.;Team Competition;Gold
GOGOLADZE, Vladimir;Artistic G.;Team Competition;Gold
KHARIKOV, Serguei;Artistic G.;Team Competition;Gold
LIOUKINE, Valeri;Artistic G.;Team Competition;Gold
NOVIKOV, Vladimir;Artistic G.;Team Competition;Gold
BEHRENDT, Holger;Artistic G.;Team Competition;Silver
BÜCHNER, Ralf;Artistic G.;Team Competition;Silver
HOFFMANN, Ulf;Artistic G.;Team Competition;Silver
KROLL, Sylvio;Artistic G.;Team Competition;Silver
TIPPELT, Sven;Artistic G.;Team Competition;Silver
WECKER, Andreas;Artistic G.;Team Competition;Silver
F�HNRICH, Gabriele;Artistic G.;Team Competition;Bronze
JENTSCH, Martina;Artistic G.;Team Competition;Bronze
KERSTEN, Dagmar;Artistic G.;Team Competition;Bronze
KLOTZ, Ulrike;Artistic G.;Team Competition;Bronze
SCHIEFERDECKER, Bettina;Artistic G.;Team Competition;Bronze
THÜMMLER, Dörte;Artistic G.;Team Competition;Bronze
BAITOVA, Svetlana;Artistic G.;Team Competition;Gold
BOGINSKAYA, Svetlana;Artistic G.;Team Competition;Gold
LACHTCHENOVA, Natalia;Artistic G.;Team Competition;Gold
SHEVCHENKO, Elena;Artistic G.;Team Competition;Gold
SHUSHUNOVA, Elena;Artistic G.;Team Competition;Gold
STRAZHEVA, Olga;Artistic G.;Team Competition;Gold
DOBRE, Aurelia;Artistic G.;Team Competition;Silver
GOLEA, Eugenia;Artistic G.;Team Competition;Silver
POPA, Celestina;Artistic G.;Team Competition;Silver
POTORAC, Gabriela;Artistic G.;Team Competition;Silver
SILIVAS, Daniela;Artistic G.;Team Competition;Silver
VOINEA, Camelia;Artistic G.;Team Competition;Silver
SHUSHUNOVA, Elena;Artistic G.;Uneven Bars;Bronze
SILIVAS, Daniela;Artistic G.;Uneven Bars;Gold
KERSTEN, Dagmar;Artistic G.;Uneven Bars;Silver
PARK, Jong-Hoon;Artistic G.;Vault;Bronze
LOU, Yun;Artistic G.;Vault;Gold
KROLL, Sylvio;Artistic G.;Vault;Silver
SILIVAS, Daniela;Artistic G.;Vault;Bronze
BOGINSKAYA, Svetlana;Artistic G.;Vault;Gold
POTORAC, Gabriela;Artistic G.;Vault;Silver
TIMOSHENKO, Alexandra;Rhythmic G.;Individual All-Round;Bronze
LOBATCH, Marina;Rhythmic G.;Individual All-Round;Gold
DUNAVSKA, Adriana;Rhythmic G.;Individual All-Round;Silver
BASIC, Mirko;Handball;Handball;Bronze
HOLPERT, Jozef;Handball;Handball;Bronze
JARAK, Boris;Handball;Handball;Bronze
KUZMANOVSKI, Slobodan;Handball;Handball;Bronze
MEMIC, Muhamed;Handball;Handball;Bronze
NACINOVIC, Alvaro;Handball;Handball;Bronze
PERKOVAC, Goran;Handball;Handball;Bronze
PORTNER, Zlatko;Handball;Handball;Bronze
PUC, Iztok;Handball;Handball;Bronze
PUSNIK, Rolando;Handball;Handball;Bronze
RNIC, Momir;Handball;Handball;Bronze
SARACEVIC, Zlatko;Handball;Handball;Bronze
SMAJLAGIC, Irfan;Handball;Handball;Bronze
VELIC, Ermin;Handball;Handball;Bronze
VUJOVIC, Veselin;Handball;Handball;Bronze
ATAVIN, Vyacheslav;Handball;Handball;Gold
CHUMAK, Igor;Handball;Handball;Gold
CHUMENTSEV, Andrei;Handball;Handball;Gold
GOPIN, Valeri;Handball;Handball;Gold
KARSHAKEVICH, Aleksandr;Handball;Handball;Gold
LAVROV, Andrey;Handball;Handball;Gold
NESTEROV, Yuri;Handball;Handball;Gold
NOVITSKI, Valdemar;Handball;Handball;Gold
RYMANOV, Aleksandr;Handball;Handball;Gold
SHAROVAROV, Konstantin;Handball;Handball;Gold
SHEVTSOV, Yuri;Handball;Handball;Gold
SVIRIDENKO, Georgi;Handball;Handball;Gold
TUCHKIN, Alexandre;Handball;Handball;Gold
VASILIEV, Mikhail;Handball;Handball;Gold
CHOI, Suk-Jae;Handball;Handball;Silver
KANG, Jae-Won;Handball;Handball;Silver
KIM, Jae-Hwan;Handball;Handball;Silver
KOH, Suk-Chang;Handball;Handball;Silver
LEE, Sang-Hyo;Handball;Handball;Silver
LIM, Jin-Suk;Handball;Handball;Silver
OH, Young-Ki;Handball;Handball;Silver
PARK, Do-Hun;Handball;Handball;Silver
PARK, Young-Dae;Handball;Handball;Silver
ROH, Hyun-Suk;Handball;Handball;Silver
SHIM, Jae-Hong;Handball;Handball;Silver
SHIN, Yung-Suk;Handball;Handball;Silver
YOON, Tae-Il;Handball;Handball;Silver
ANISIMOVA, Natalya;Handball;Handball;Bronze
BAZANOVA, Marina;Handball;Handball;Bronze
DIANDIGAVA, Tatyana;Handball;Handball;Bronze
GORB, Tatyana;Handball;Handball;Bronze
GUSEVA, Elina;Handball;Handball;Bronze
KARLOVA, Larisa;Handball;Handball;Bronze
LAPITSKAYA, Natalya;Handball;Handball;Bronze
MANKOVA, Svetlana;Handball;Handball;Bronze
MITRYUK, Natalya;Handball;Handball;Bronze
MORSKOVA, Natalia;Handball;Handball;Bronze
NEMASHKALO, Elena;Handball;Handball;Bronze
RUSNACHENKO, Natalya;Handball;Handball;Bronze
SEMENOVA, Olga;Handball;Handball;Bronze
TOVSTOGAN, Yevgeniya;Handball;Handball;Bronze
TURCHINA, Zinaida;Handball;Handball;Bronze
HAN, Hyun-Sook;Handball;Handball;Gold
KIM, Choon-Rye;Handball;Handball;Gold
KIM, Hyun-Mee;Handball;Handball;Gold
KIM, Kyung-Soon;Handball;Handball;Gold
KIM, Mi-Sook;Handball;Handball;Gold
KIM, Myung-Soon;Handball;Handball;Gold
LEE, Ki-Soon;Handball;Handball;Gold
LIM, Mi-Kyung;Handball;Handball;Gold
SON, Mi-Ha;Handball;Handball;Gold
SONG, Ji-Hyun;Handball;Handball;Gold
SUK, Min-Hee;Handball;Handball;Gold
SUNG, Kyung-Hwa;Handball;Handball;Gold
ANDERSEN, Kjerstin;Handball;Handball;Silver
DIGRE, Berit;Handball;Handball;Silver
ELIASSON, Marthe;Handball;Handball;Silver
GOKSOR, Susann;Handball;Handball;Silver
HALTVIK, Trine;Handball;Handball;Silver
HEGH, Hanne;Handball;Handball;Silver
HOGNESS, Hanne;Handball;Handball;Silver
JOHNSEN, Vibeke;Handball;Handball;Silver
MIDTHUN, Kristin;Handball;Handball;Silver
PETTERSEN, Karin;Handball;Handball;Silver
SINGSTAD, Karin;Handball;Handball;Silver
SKOTVOLL, Annette;Handball;Handball;Silver
STEEN, Ingrid;Handball;Handball;Silver
SUNDAL, Heidi;Handball;Handball;Silver
SVENDSEN, Cathrine;Handball;Handball;Silver
BENNINGA, Marc Alexander;Hockey;Hockey;Bronze
BOVELANDER, Floris Jan;Hockey;Hockey;Bronze
BRINKMAN, Jacques;Hockey;Hockey;Bronze
CRUCQ, Maurits;Hockey;Hockey;Bronze
DELISSEN, Marc;Hockey;Hockey;Bronze
DIEPEVEEN, Cees Jaan;Hockey;Hockey;Bronze
FABER, Patrick Franciscus Maria;Hockey;Hockey;Bronze
JANSEN, Franciscus Ronaldus Maria;Hockey;Hockey;Bronze
KLAASSEN, Rene Nico Hubertus;Hockey;Hockey;Bronze
KOOIJMAN, Hendrik Jan;Hockey;Hockey;Bronze
KRUIZE, Jan Hidde;Hockey;Hockey;Bronze
LEISTRA, Frank;Hockey;Hockey;Bronze
PARLEVLIET, Erik Robbert;Hockey;Hockey;Bronze
SCHLATMANN, Gert Jan;Hockey;Hockey;Bronze
STEENS, Timotheus Bernardus;Hockey;Hockey;Bronze
VAN DEN HONERT, Taco;Hockey;Hockey;Bronze
BARBER, Paul Jason;Hockey;Hockey;Gold
BATCHELOR, Steven James;Hockey;Hockey;Gold
BHAURA, Kulbir Singh;Hockey;Hockey;Gold
CLIFT, Robert;Hockey;Hockey;Gold
DODDS, Richard David Allan;Hockey;Hockey;Gold
FAULKNER, David Andrew Vince.;Hockey;Hockey;Gold
GARCIA, Russell Simon;Hockey;Hockey;Gold
GRIMLEY, Martyn Andrew;Hockey;Hockey;Gold
KERLY, Sean Robin;Hockey;Hockey;Gold
KIRKWOOD, James William;Hockey;Hockey;Gold
LEMAN, Richard Alexander;Hockey;Hockey;Gold
MARTIN, Stephen Alexander.;Hockey;Hockey;Gold
PAPPIN, Veryan Guy Henry;Hockey;Hockey;Gold
POTTER, Jonathan Nicholas M.;Hockey;Hockey;Gold
SHERWANI, Imran Ahmed Khan;Hockey;Hockey;Gold
TAYLOR, Ian Charles Boucher;Hockey;Hockey;Gold
BLÖCHER, Stefan;Hockey;Hockey;Silver
BRINKMANN, Dirk;Hockey;Hockey;Silver
BRINKMANN, Thomas;Hockey;Hockey;Silver
DOPP, Heiner;Hockey;Hockey;Silver
FASTRICH, Hans-Henning;Hockey;Hockey;Silver
FISCHER, Carsten;Hockey;Hockey;Silver
FRANK, Tobias;Hockey;Hockey;Silver
FRIED, Volker;Hockey;Hockey;Silver
HANEL, Horst-Ulrich;Hockey;Hockey;Silver
HILGERS, Michael;Hockey;Hockey;Silver
KELLER, Andreas;Hockey;Hockey;Silver
METZ, Michael;Hockey;Hockey;Silver
MOLLANDIN, Andreas;Hockey;Hockey;Silver
RECK, Thomas Werner;Hockey;Hockey;Silver
SCHLIEMANN, Christian;Hockey;Hockey;Silver
SCHMIDT-OPPER, Ekkhard;Hockey;Hockey;Silver
AARDENBURG, Willemien;Hockey;Hockey;Bronze
BENNINGA, Carina;Hockey;Hockey;Bronze
BOLHUIS-EIJSVOGEL, Maria Yolanda C.;Hockey;Hockey;Bronze
BUTER, Yvonne;Hockey;Hockey;Bronze
DE BEUS, Bernadette;Hockey;Hockey;Bronze
FOKKE, Annemieke;Hockey;Hockey;Bronze
HOLSBOER, Eleonoor Wendeline;Hockey;Hockey;Bronze
LEJEUNE VAN DER BEN, Helena Johanna;Hockey;Hockey;Bronze
LEJEUNE, Elisabeth Anne Marie;Hockey;Hockey;Bronze
NIEUWEWNHUIZEN, Anne Lucia (Anneloes);Hockey;Hockey;Bronze
OHR, Martine;Hockey;Hockey;Bronze
VAN DOORN, Marieke Birgitta;Hockey;Hockey;Bronze
VAN MANEN, Aletta;Hockey;Hockey;Bronze
VON WEILER, Sophie Pauline;Hockey;Hockey;Bronze
WILLEMSE, Laurien;Hockey;Hockey;Bronze
WOLFF, Ingrid Imelda;Hockey;Hockey;Bronze
BELBIN, Tracey Lee;Hockey;Hockey;Gold
BOWMAN, Deborah;Hockey;Hockey;Gold
CAPES, Lee;Hockey;Hockey;Gold
CAPES-HAGER, Michelle Edith;Hockey;Hockey;Gold
CARBON, Sally May;Hockey;Hockey;Gold
CLEMENT-DENNING, Elspeth;Hockey;Hockey;Gold
DORMAN, Loretta;Hockey;Hockey;Gold
FISH, Maree;Hockey;Hockey;Gold
HAWKES, Rechelle;Hockey;Hockey;Gold
HILLAS, Lorraine;Hockey;Hockey;Gold
PARTRIDGE, Kathleen Anne;Hockey;Hockey;Gold
PATMORE, Sharon;Hockey;Hockey;Gold
PEREIRA, Jacqueline Margaret;Hockey;Hockey;Gold
PISANI, Alexandra;Hockey;Hockey;Gold
SMALL, Kim;Hockey;Hockey;Gold
TOOTH, Liane Marianne;Hockey;Hockey;Gold
CHANG, Eun-Jung;Hockey;Hockey;Silver
CHO, Ki-Hyang;Hockey;Hockey;Silver
CHOI, Choon-Ok;Hockey;Hockey;Silver
CHUNG, Eun-Kyung;Hockey;Hockey;Silver
CHUNG, Sang-Hyun;Hockey;Hockey;Silver
HAN, Gum Shil;Hockey;Hockey;Silver
HAN, Ok-Kyung;Hockey;Hockey;Silver
HWANG, Keum-Sook;Hockey;Hockey;Silver
JIN, Won-Sim;Hockey;Hockey;Silver
KIM, Mi-Sun;Hockey;Hockey;Silver
KIM, Soon-Duk;Hockey;Hockey;Silver
KIM, Young-Sook;Hockey;Hockey;Silver
LIM, Kye-Sook;Hockey;Hockey;Silver
PARK, Soon-Ja;Hockey;Hockey;Silver
SEO, Hyo-Sun;Hockey;Hockey;Silver
SEO, Kwang-Mi;Hockey;Hockey;Silver
HOSOKAWA, Shinji;Judo;- 60 KG;Bronze
TOTIKASHVILI, Amiran;Judo;- 60 KG;Bronze
KIM, Jae-Yup;Judo;- 60 KG;Gold
ASANO, Kevin Yoshimi;Judo;- 60 KG;Silver
CHO, Yong-Chul;Judo;+ 95KG (Heavyweight);Bronze
VERICHEV, Grigori;Judo;+ 95KG (Heavyweight);Bronze
SAITO, Hitoshi;Judo;+ 95KG (Heavyweight);Gold
STÖHR, Henry;Judo;+ 95KG (Heavyweight);Silver
CARABETTA, Bruno;Judo;60 - 65KG (Half-Lightweight);Bronze
YAMAMOTO, Yosuke;Judo;60 - 65KG (Half-Lightweight);Bronze
LEE, Kyung-Keun;Judo;60 - 65KG (Half-Lightweight);Gold
PAWLOWSKI, Janusz;Judo;60 - 65KG (Half-Lightweight);Silver
SWAIN, Michael Lee;Judo;65 - 71KG (Lightweight);Bronze
TENADZE, Georgi;Judo;65 - 71KG (Lightweight);Bronze
ALEXANDRE, Marc;Judo;65 - 71KG (Lightweight);Gold
LOLL, Sven;Judo;65 - 71KG (Lightweight);Silver
BRECHOT, Torsten;Judo;71 - 78KG (Half-Middleweight);Bronze
VARAEV, Bashir;Judo;71 - 78KG (Half-Middleweight);Bronze
LEGIEN, Waldemar;Judo;71 - 78KG (Half-Middleweight);Gold
WIENEKE, Frank;Judo;71 - 78KG (Half-Middleweight);Silver
OSAKO, Akinobu;Judo;78 - 86KG (Middleweight);Bronze
SPIJKERS, Bernhard;Judo;78 - 86KG (Middleweight);Bronze
SEISENBACHER, Peter;Judo;78 - 86KG (Middleweight);Gold
SHESTAKOV, Vladimir;Judo;78 - 86KG (Middleweight);Silver
STEWART, Dennis;Judo;86 - 95KG (Half-Heavyweight);Bronze
VAN DE WALLE, Robert;Judo;86 - 95KG (Half-Heavyweight);Bronze
MIGUEL FERNANDEZ, Aurelio;Judo;86 - 95KG (Half-Heavyweight);Gold
MEILING, Marc;Judo;86 - 95KG (Half-Heavyweight);Silver
YAGORASHVILI, Vakhtang;Modern Pentath.;Individual Competition;Bronze
MARTINEK, Janos;Modern Pentath.;Individual Competition;Gold
MASSULLO, Carlo;Modern Pentath.;Individual Competition;Silver
BROOKHOUSE, Graham Raymond;Modern Pentath.;Team Competition;Bronze
MAHONY, Dominic J.M.;Modern Pentath.;Team Competition;Bronze
PHELPS, Richard Lawson;Modern Pentath.;Team Competition;Bronze
FABIAN, Laszlo;Modern Pentath.;Team Competition;Gold
MARTINEK, Janos;Modern Pentath.;Team Competition;Gold
MIZSER, Attila;Modern Pentath.;Team Competition;Gold
MASALA, Daniele;Modern Pentath.;Team Competition;Silver
MASSULLO, Carlo;Modern Pentath.;Team Competition;Silver
TIBERTI, Gianluca;Modern Pentath.;Team Competition;Silver
MUJKIC, Sadik;Rowing;Coxless Pair (2-);Bronze
PRESEREN, Bojan;Rowing;Coxless Pair (2-);Bronze
HOLMES, Andrew John;Rowing;Coxless Pair (2-);Gold
REDGRAVE, Steven;Rowing;Coxless Pair (2-);Gold
DOBRE, Danut;Rowing;Coxless Pair (2-);Silver
NEAGU, Dragos;Rowing;Coxless Pair (2-);Silver
MARCHENKO, Aleksandr;Rowing;Double Sculls (2X);Bronze
YAKUSHA, Vasili;Rowing;Double Sculls (2X);Bronze
FLORIJN, Ronald;Rowing;Double Sculls (2X);Gold
RIENKS, Nico;Rowing;Double Sculls (2X);Gold
BODENMANN, Ueli;Rowing;Double Sculls (2X);Silver
SCHWERZMANN, Beat;Rowing;Double Sculls (2X);Silver
MADINA, Stefka;Rowing;Double Sculls (2X);Bronze
NINOVA, Violeta;Rowing;Double Sculls (2X);Bronze
PETER, Birgit;Rowing;Double Sculls (2X);Gold
SCHRÖTER, Martina;Rowing;Double Sculls (2X);Gold
COCHELEA, Veronica;Rowing;Double Sculls (2X);Silver
LIPA, Elisabeta;Rowing;Double Sculls (2X);Silver
BAUER, Seth David;Rowing;Eight With Coxswain (8+);Bronze
BURDEN, William Douglas;Rowing;Eight With Coxswain (8+);Bronze
MCLAUGHLIN, Jeffrey Dean;Rowing;Eight With Coxswain (8+);Bronze
NORDELL, Peter W.;Rowing;Eight With Coxswain (8+);Bronze
PATTON, Edward Bickford;Rowing;Eight With Coxswain (8+);Bronze
PESCATORE, John A.;Rowing;Eight With Coxswain (8+);Bronze
RUSHER, John Dunbar, Iv;Rowing;Eight With Coxswain (8+);Bronze
SMITH, Jonathan S.;Rowing;Eight With Coxswain (8+);Bronze
TETI, Michael Francis;Rowing;Eight With Coxswain (8+);Bronze
DOMAIN, Thomas;Rowing;Eight With Coxswain (8+);Gold
EICHHOLZ, Armin;Rowing;Eight With Coxswain (8+);Gold
KLEIN, Manfred Willi;Rowing;Eight With Coxswain (8+);Gold
M�NNIG, Wolfgang;Rowing;Eight With Coxswain (8+);Gold
MELLINGHAUS, Matthias;Rowing;Eight With Coxswain (8+);Gold
MÖLLENKAMP, Thomas;Rowing;Eight With Coxswain (8+);Gold
RABE, Bahne;Rowing;Eight With Coxswain (8+);Gold
SCHULTZ, Eckhardt;Rowing;Eight With Coxswain (8+);Gold
WESSLING, Ansgar;Rowing;Eight With Coxswain (8+);Gold
BUT, Veniamin;Rowing;Eight With Coxswain (8+);Silver
DIDUK, Viktor;Rowing;Eight With Coxswain (8+);Silver
DUMCHEV, Aleksandr;Rowing;Eight With Coxswain (8+);Silver
GURKOVSKY, Pavel;Rowing;Eight With Coxswain (8+);Silver
KOMAROV, Nikolai;Rowing;Eight With Coxswain (8+);Silver
LUKYANOV, Aleksandr;Rowing;Eight With Coxswain (8+);Silver
OMELYANOVICH, Viktor;Rowing;Eight With Coxswain (8+);Silver
TIKHANOV, Vasili;Rowing;Eight With Coxswain (8+);Silver
VASILIEV, Andrei;Rowing;Eight With Coxswain (8+);Silver
HAN, Ya-Qin;Rowing;Eight With Coxswain (8+);Bronze
HE, Yanwen;Rowing;Eight With Coxswain (8+);Bronze
HU, Ya-Dong;Rowing;Eight With Coxswain (8+);Bronze
LI, Rong-Hua;Rowing;Eight With Coxswain (8+);Bronze
YANG, Xiao;Rowing;Eight With Coxswain (8+);Bronze
ZHANG, Xiang-Hua;Rowing;Eight With Coxswain (8+);Bronze
ZHANG, Ya-Li;Rowing;Eight With Coxswain (8+);Bronze
ZHOU, Shouying;Rowing;Eight With Coxswain (8+);Bronze
ZHOU, Xiu-Hua;Rowing;Eight With Coxswain (8+);Bronze
BALTHASAR, Ramona;Rowing;Eight With Coxswain (8+);Gold
HAACKER, Kathrin;Rowing;Eight With Coxswain (8+);Gold
KLUGE, Anja;Rowing;Eight With Coxswain (8+);Gold
NEUNAST, Daniela;Rowing;Eight With Coxswain (8+);Gold
SCHRÖR, Beatrix;Rowing;Eight With Coxswain (8+);Gold
STANGE, Uta;Rowing;Eight With Coxswain (8+);Gold
STRAUCH, Annegret;Rowing;Eight With Coxswain (8+);Gold
WILD-WAGNER, Ute;Rowing;Eight With Coxswain (8+);Gold
ZEIDLER, Judith;Rowing;Eight With Coxswain (8+);Gold
ANITAS, Herta;Rowing;Eight With Coxswain (8+);Silver
ARMASESCU, Mihaela;Rowing;Eight With Coxswain (8+);Silver
BALAN-SNEP, Doina Lilian;Rowing;Eight With Coxswain (8+);Silver
BAZON, Adriana;Rowing;Eight With Coxswain (8+);Silver
HOMEGHI-BULARDA, Olga;Rowing;Eight With Coxswain (8+);Silver
NECULA, Veronica;Rowing;Eight With Coxswain (8+);Silver
OANCIA, Ecaterina;Rowing;Eight With Coxswain (8+);Silver
PUSCATU-ARBA, Rodica;Rowing;Eight With Coxswain (8+);Silver
TRASCA, Marioara;Rowing;Eight With Coxswain (8+);Silver
GRABOW, Guido;Rowing;Four Without Coxswain (4-);Bronze
GRABOW, Volker;Rowing;Four Without Coxswain (4-);Bronze
KESSLAU, Norbert;Rowing;Four Without Coxswain (4-);Bronze
PUTTLITZ, J??rg;Rowing;Four Without Coxswain (4-);Bronze
BRUDEL, Ralf;Rowing;Four Without Coxswain (4-);Gold
FÖRSTER, Olaf;Rowing;Four Without Coxswain (4-);Gold
GREINER, Thomas;Rowing;Four Without Coxswain (4-);Gold
SCHRÖDER, Roland;Rowing;Four Without Coxswain (4-);Gold
BOHRER, Thomas Robert;Rowing;Four Without Coxswain (4-);Silver
KENNELLY, Richard;Rowing;Four Without Coxswain (4-);Silver
KRMPOTICH, David Mattthew;Rowing;Four Without Coxswain (4-);Silver
RODRIGUEZ, Raoul Pedro, Jr.;Rowing;Four Without Coxswain (4-);Silver
BIRD, Andrew;Rowing;Four-Oared Shell With Coxswain (4-);Bronze
JOHNSTON, Gregory;Rowing;Four-Oared Shell With Coxswain (4-);Bronze
KEYS, George;Rowing;Four-Oared Shell With Coxswain (4-);Bronze
WHITE, Christopher S.;Rowing;Four-Oared Shell With Coxswain (4-);Bronze
WRIGHT, Ian Andrew;Rowing;Four-Oared Shell With Coxswain (4-);Bronze
EICHWURZEL, Bernd;Rowing;Four-Oared Shell With Coxswain (4-);Gold
KLAWONN, Frank;Rowing;Four-Oared Shell With Coxswain (4-);Gold
NIESECKE, Bernd;Rowing;Four-Oared Shell With Coxswain (4-);Gold
REIHER, Hendrik;Rowing;Four-Oared Shell With Coxswain (4-);Gold
SCHMELING, Karsten;Rowing;Four-Oared Shell With Coxswain (4-);Gold
LOVRENSCHI, Ladislau;Rowing;Four-Oared Shell With Coxswain (4-);Silver
POPESCU, Dimitrie;Rowing;Four-Oared Shell With Coxswain (4-);Silver
ROBU, Valentin;Rowing;Four-Oared Shell With Coxswain (4-);Silver
SNEP, Ioan Gabor;Rowing;Four-Oared Shell With Coxswain (4-);Silver
TOMOIAGA, Vasile;Rowing;Four-Oared Shell With Coxswain (4-);Silver
ANITAS, Herta;Rowing;Four-Oared Shell With Coxswain (4-);Bronze
BALAN-SNEP, Doina Lilian;Rowing;Four-Oared Shell With Coxswain (4-);Bronze
NECULA, Veronica;Rowing;Four-Oared Shell With Coxswain (4-);Bronze
OANCIA, Ecaterina;Rowing;Four-Oared Shell With Coxswain (4-);Bronze
TRASCA, Marioara;Rowing;Four-Oared Shell With Coxswain (4-);Bronze
DOBERSCHÜTZ, Gerlinde;Rowing;Four-Oared Shell With Coxswain (4-);Gold
HORNIG, Carola;Rowing;Four-Oared Shell With Coxswain (4-);Gold
ROSE, Sylvia;Rowing;Four-Oared Shell With Coxswain (4-);Gold
SIECH, Birte;Rowing;Four-Oared Shell With Coxswain (4-);Gold
WALTHER, Martina;Rowing;Four-Oared Shell With Coxswain (4-);Gold
HU, Ya-Dong;Rowing;Four-Oared Shell With Coxswain (4-);Silver
LI, Rong-Hua;Rowing;Four-Oared Shell With Coxswain (4-);Silver
YANG, Xiao;Rowing;Four-Oared Shell With Coxswain (4-);Silver
ZHANG, Xiang-Hua;Rowing;Four-Oared Shell With Coxswain (4-);Silver
ZHOU, Shouying;Rowing;Four-Oared Shell With Coxswain (4-);Silver
HANNEN, Lynley;Rowing;Pair Without Coxswain (2-);Bronze
PAYNE, Nicola;Rowing;Pair Without Coxswain (2-);Bronze
HOMEGHI-BULARDA, Olga;Rowing;Pair Without Coxswain (2-);Gold
PUSCATU-ARBA, Rodica;Rowing;Pair Without Coxswain (2-);Gold
BERBEROVA, Lalka Stoyanova;Rowing;Pair Without Coxswain (2-);Silver
STOYANOVA, Radka;Rowing;Pair Without Coxswain (2-);Silver
HOLMES, Andrew John;Rowing;Pair-Oared Shell With Coxswain (2+);Bronze
REDGRAVE, Steven;Rowing;Pair-Oared Shell With Coxswain (2+);Bronze
SWEENEY, Patrick John;Rowing;Pair-Oared Shell With Coxswain (2+);Bronze
ABBAGNALE, Carmine;Rowing;Pair-Oared Shell With Coxswain (2+);Gold
ABBAGNALE, Giuseppe;Rowing;Pair-Oared Shell With Coxswain (2+);Gold
DI CAPUA, Giuseppe;Rowing;Pair-Oared Shell With Coxswain (2+);Gold
KIRCHHOFF, Detlef;Rowing;Pair-Oared Shell With Coxswain (2+);Silver
RENSCH, Rene;Rowing;Pair-Oared Shell With Coxswain (2+);Silver
STREIT, Mario;Rowing;Pair-Oared Shell With Coxswain (2+);Silver
BOGS, Steffen;Rowing;Quadruple Sculls Without Coxswain (4X);Bronze
HABERMANN, Heiko;Rowing;Quadruple Sculls Without Coxswain (4X);Bronze
KOPPEN, Jens;Rowing;Quadruple Sculls Without Coxswain (4X);Bronze
ZÜHLKE, Steffen;Rowing;Quadruple Sculls Without Coxswain (4X);Bronze
ABBAGNALE, Agostino;Rowing;Quadruple Sculls Without Coxswain (4X);Gold
FARINA, Gianluca;Rowing;Quadruple Sculls Without Coxswain (4X);Gold
POLI, Piero;Rowing;Quadruple Sculls Without Coxswain (4X);Gold
TIZZANO, Davide;Rowing;Quadruple Sculls Without Coxswain (4X);Gold
BJÖNNESS, Lars;Rowing;Quadruple Sculls Without Coxswain (4X);Silver
HANSEN, Alf John;Rowing;Quadruple Sculls Without Coxswain (4X);Silver
THORSEN, Rolf Bernt;Rowing;Quadruple Sculls Without Coxswain (4X);Silver
VINJE, Vetle;Rowing;Quadruple Sculls Without Coxswain (4X);Silver
COCHELEA, Veronica;Rowing;Quadruple Sculls Without Coxswain (4X);Bronze
DOBRE, Anisoara;Rowing;Quadruple Sculls Without Coxswain (4X);Bronze
LIPA, Elisabeta;Rowing;Quadruple Sculls Without Coxswain (4X);Bronze
SOROHAN-MINEA, Anisoara;Rowing;Quadruple Sculls Without Coxswain (4X);Bronze
FÖRSTER, Kerstin;Rowing;Quadruple Sculls Without Coxswain (4X);Gold
MUNDT, Kristina;Rowing;Quadruple Sculls Without Coxswain (4X);Gold
SCHRAMM, Beate;Rowing;Quadruple Sculls Without Coxswain (4X);Gold
SORGERS, Jana;Rowing;Quadruple Sculls Without Coxswain (4X);Gold
DUMCHEVA, Antonina;Rowing;Quadruple Sculls Without Coxswain (4X);Silver
FROLOVA, Inna;Rowing;Quadruple Sculls Without Coxswain (4X);Silver
KALIMBET, Irina;Rowing;Quadruple Sculls Without Coxswain (4X);Silver
MAZIY, Svetlana;Rowing;Quadruple Sculls Without Coxswain (4X);Silver
VERDONK, Eric Franciscus;Rowing;Single Sculls (1X);Bronze
LANGE, Thomas;Rowing;Single Sculls (1X);Gold
KOLBE, Peter-Michael;Rowing;Single Sculls (1X);Silver
GEORGIEVA, Magdalena;Rowing;Single Sculls (1X);Bronze
BEHRENDT, Jutta;Rowing;Single Sculls (1X);Gold
